Unnamed: 0,始値,高値,安値,終値
2016-12-30,1335,1340,1300,1323
2016-12-29,1350,1406,1329,1330
2016-12-28,1420,1469,1331,1370
2016-12-27,1457,1540,1400,1407
2016-12-26,1350,1630,1350,1442
2016-12-22,1235,1453,1235,1356
2016-12-21,1217,1260,1210,1229
2016-12-20,1156,1213,1156,1203
2016-12-19,1205,1205,1151,1170
2016-12-16,1237,1247,1191,1206
2016-12-15,1249,1249,1216,1237
2016-12-14,1192,1248,1192,1239
2016-12-13,1144,1201,1144,1192
2016-12-12,1156,1161,1135,1145
2016-12-09,1140,1198,1140,1155
2016-12-08,1180,1188,1141,1145
2016-12-07,1138,1169,1136,1150
2016-12-06,1133,1153,1130,1140
2016-12-05,1142,1156,1129,1132
2016-12-02,1200,1203,1167,1178
2016-12-01,1200,1230,1187,1194
