,始値,安値,終値,高値
2015-12-10,652,631,632,652
2015-12-11,631,627,645,670
2015-12-14,622,608,621,640
2015-12-15,616,591,591,625
2015-12-16,587,584,588,605
2015-12-17,598,588,606,611
2015-12-18,592,559,568,595
2015-12-21,548,529,539,559
2015-12-22,532,509,515,537
2015-12-24,510,484,490,513
2015-12-25,490,461,465,499
2015-12-28,488,480,545,545
2015-12-29,545,545,627,642
2015-12-30,627,597,611,655
