Unnamed: 0,始値,高値,安値,終値
2015-12-30,627,655,597,611
2015-12-29,545,642,545,627
2015-12-28,488,545,480,545
2015-12-25,490,499,461,465
2015-12-24,510,513,484,490
2015-12-22,532,537,509,515
2015-12-21,548,559,529,539
2015-12-18,592,595,559,568
2015-12-17,598,611,588,606
2015-12-16,587,605,584,588
2015-12-15,616,625,591,591
2015-12-14,622,640,608,621
2015-12-11,631,670,627,645
2015-12-10,652,652,631,632
2015-12-09,662,668,654,656
2015-12-08,680,682,668,669
2015-12-07,693,694,675,680
2015-12-04,670,689,668,683
2015-12-03,672,698,668,680
2015-12-02,676,684,667,675
2015-12-01,665,700,665,685
2015-11-30,663,675,658,667
2015-11-27,687,690,673,673
2015-11-26,710,710,686,694
2015-11-25,706,715,701,701
2015-11-24,718,721,700,705
2015-11-20,698,718,694,704
2015-11-19,661,740,653,722
2015-11-18,665,666,651,651
2015-11-17,657,675,642,659
2015-11-16,649,678,649,649
2015-11-13,802,839,777,799
2015-11-12,836,852,805,806
2015-11-11,858,900,842,860
2015-11-10,780,920,761,880
2015-11-09,779,791,765,787
2015-11-06,754,803,743,787
2015-11-05,757,758,715,739
2015-11-04,813,818,760,764
2015-11-02,814,821,794,808
2015-10-30,830,844,803,823
2015-10-29,895,898,835,850
2015-10-28,905,909,890,892
2015-10-27,916,924,906,912
2015-10-26,932,933,911,916
2015-10-23,924,943,916,922
2015-10-22,931,940,910,911
2015-10-21,900,955,883,940
2015-10-20,908,922,882,891
2015-10-19,923,927,907,908
2015-10-16,944,961,936,936
2015-10-15,904,954,902,950
2015-10-14,915,944,913,918
2015-10-13,982,985,945,950
2015-10-09,996,1010,973,998
2015-10-08,1041,1042,1010,1010
2015-10-07,1045,1046,1021,1038
2015-10-06,1075,1088,1045,1047
2015-10-05,1080,1119,1067,1078
2015-10-02,1036,1077,1035,1065
2015-10-01,1096,1105,1055,1066
2015-09-30,1064,1088,1046,1080
2015-09-29,1050,1054,1033,1047
2015-09-28,1080,1130,1056,1084
2015-09-25,1055,1072,1023,1055
2015-09-24,1052,1066,1042,1060
2015-09-18,1070,1086,1055,1069
2015-09-17,1100,1100,1055,1083
2015-09-16,1150,1170,1091,1109
2015-09-15,1023,1034,1006,1007
2015-09-14,1061,1077,1014,1026
2015-09-11,1012,1067,1012,1044
2015-09-10,1005,1045,1002,1025
2015-09-09,1082,1082,1021,1044
2015-09-08,1047,1080,1000,1009
2015-09-07,1080,1100,1013,1036
2015-09-04,1234,1278,1086,1110
2015-09-03,1105,1278,1085,1215
2015-09-02,1000,1107,990,1070
2015-09-01,1121,1131,1056,1071
2015-08-31,1155,1170,1122,1150
2015-08-28,1177,1216,1140,1162
2015-08-27,1050,1119,1050,1073
2015-08-26,985,1054,950,1047
2015-08-25,850,1020,780,910
2015-08-24,1040,1053,888,894
2015-08-21,1056,1122,1051,1086
2015-08-20,1150,1190,1129,1129
2015-08-19,1170,1186,1112,1122
2015-08-18,1121,1220,1110,1181
2015-08-17,988,1167,981,1150
2015-08-14,1120,1228,1090,1197
2015-08-13,1116,1147,1035,1077
2015-08-12,1185,1185,1126,1132
2015-08-11,1215,1218,1177,1185
2015-08-10,1230,1239,1200,1200
2015-08-07,1240,1250,1212,1226
2015-08-06,1244,1309,1215,1221
2015-08-05,1264,1266,1196,1231
2015-08-04,1313,1313,1273,1285
2015-08-03,1330,1353,1303,1305
2015-07-31,1320,1355,1311,1345
2015-07-30,1340,1372,1325,1335
2015-07-29,1406,1406,1340,1346
2015-07-28,1325,1410,1320,1401
2015-07-27,1414,1418,1355,1374
2015-07-24,1485,1488,1416,1426
2015-07-23,1529,1549,1457,1480
2015-07-22,1382,1493,1374,1490
2015-07-21,1340,1398,1336,1398
2015-07-17,1345,1351,1316,1328
2015-07-16,1349,1367,1327,1352
2015-07-15,1383,1396,1342,1349
2015-07-14,1356,1409,1341,1374
2015-07-13,1314,1353,1303,1319
2015-07-10,1339,1359,1284,1284
2015-07-09,1249,1366,1160,1360
2015-07-08,1411,1414,1315,1339
2015-07-07,1437,1467,1411,1421
2015-07-06,1393,1472,1381,1435
2015-07-03,1500,1530,1424,1453
2015-07-02,1453,1457,1370,1395
2015-07-01,1470,1515,1420,1423
2015-06-30,1310,1480,1307,1430
2015-06-29,1211,1383,1210,1313
2015-06-26,1380,1397,1284,1301
2015-06-25,1413,1475,1360,1373
2015-06-24,1473,1476,1384,1408
2015-06-23,1523,1560,1451,1462
2015-06-22,1506,1533,1450,1499
2015-06-19,1650,1668,1437,1506
2015-06-18,1670,1709,1590,1615
2015-06-17,1681,1728,1640,1670
2015-06-16,1778,1840,1605,1626
2015-06-15,1568,1736,1533,1717
2015-06-12,1425,1620,1387,1600
2015-06-11,1460,1480,1360,1373
2015-06-10,1566,1579,1322,1352
2015-06-09,1720,1752,1590,1606
2015-06-08,1689,1785,1657,1743
2015-06-05,1819,1853,1707,1720
2015-06-04,1995,2005,1858,1858
2015-06-03,1870,1992,1830,1894
2015-06-02,1927,2125,1821,1895
2015-06-01,1680,2038,1673,2000
2015-05-29,1500,1700,1464,1642
2015-05-28,1481,1507,1411,1427
2015-05-27,1460,1570,1440,1512
2015-05-26,1344,1390,1331,1376
2015-05-25,1344,1368,1317,1329
2015-05-22,1276,1314,1257,1314
2015-05-21,1315,1335,1265,1268
2015-05-20,1350,1358,1290,1293
