,始値,安値,終値,高値
2016-01-04,4530,4430,4515,4545
2016-01-05,4520,4475,4715,4745
2016-01-06,4690,4335,4560,4695
2016-01-07,4500,4220,4335,4550
2016-01-08,4195,4000,4290,4455
2016-01-12,4150,3620,3880,4190
2016-01-13,4070,4030,4235,4275
2016-01-14,3985,3855,4120,4225
2016-01-15,4050,3915,3935,4250
2016-01-18,3750,3700,3880,3930
2016-01-19,3870,3800,4150,4180
2016-01-20,4040,3770,3800,4040
2016-01-21,3770,3755,3895,4085
2016-01-22,4175,3955,4155,4210
2016-01-25,4225,4020,4170,4250
2016-01-26,4035,3970,4145,4410
2016-01-27,4200,4100,4100,4410
2016-01-28,4040,4035,4080,4185
2016-01-29,4110,3855,4110,4130
2016-02-01,4040,4010,4070,4135
2016-02-02,4465,3980,4050,4490
2016-02-03,3960,3875,4000,4100
2016-02-04,4090,3980,3995,4210
2016-02-05,4040,3855,3935,4145
2016-02-08,3990,3860,4060,4140
2016-02-09,3875,3415,3620,3950
2016-02-10,3550,3505,3610,3725
2016-02-12,3400,3330,3460,3570
2016-02-15,4155,4075,4160,4160
2016-02-16,4030,3900,4090,4200
2016-02-17,4160,4125,4175,4280
2016-02-18,4235,4225,4445,4490
2016-02-19,4460,4420,4700,4700
2016-02-22,4800,4460,4510,5000
2016-02-23,4580,4200,4350,4610
2016-02-24,4250,4140,4300,4370
2016-02-25,4360,4190,4390,4450
2016-02-26,4740,4420,4550,4775
2016-02-29,4600,4470,4720,4740
2016-03-01,4980,4770,5100,5100
2016-03-02,5200,5080,5390,5460
2016-03-03,5390,5060,5250,5520
2016-03-04,5340,5210,5270,5600
2016-03-07,5190,5130,5250,5410
2016-03-08,5300,5100,5100,5300
2016-03-09,4950,4885,4920,5000
2016-03-10,4900,4890,4970,5240
2016-03-11,4890,4820,4830,4960
2016-03-14,4930,4770,4835,4945
2016-03-15,4765,4650,4815,4850
2016-03-16,4860,4725,4730,4880
2016-03-17,4725,4390,4475,4790
2016-03-18,4595,4500,4780,4950
2016-03-22,4700,4655,5160,5240
2016-03-23,5200,5110,5130,5380
