,始値,安値,終値,高値
2016-03-24,5090,5020,5500,5550
2016-03-25,5500,5200,5290,5550
2016-03-28,5230,5120,5220,5410
2016-03-29,5210,5210,5470,5730
2016-03-30,5640,5450,5450,5650
2016-03-31,5600,5510,5610,5700
2016-04-01,5620,5160,5400,5650
2016-04-04,5400,5080,5180,5480
2016-04-05,5110,4765,4930,5120
2016-04-06,4930,4930,5130,5250
2016-04-07,5220,5120,5260,5340
2016-04-08,5170,5150,5250,5360
2016-04-11,5350,5180,5460,5550
2016-04-12,5400,5000,5050,5490
2016-04-13,5100,5080,5300,5360
2016-04-14,5360,5350,5380,5440
2016-04-15,5430,5300,5720,5740
2016-04-18,5530,5470,5500,5680
2016-04-19,5620,5520,5990,6000
2016-04-20,5930,5720,5810,5990
2016-04-21,5880,5720,5770,5900
2016-04-22,5710,5500,5590,5720
2016-04-25,5690,5550,5640,5860
2016-04-26,5520,5200,5330,5550
2016-04-27,5270,5260,5590,5600
2016-04-28,5660,5370,5390,5670
2016-05-02,5190,5130,5250,5280
2016-05-06,5390,5290,5520,5560
2016-05-09,5660,5570,5730,5780
2016-05-10,5680,5600,5690,5750
2016-05-11,5730,5670,5900,5930
2016-05-12,5940,5570,5630,5940
2016-05-13,5700,5700,6040,6110
2016-05-16,5040,5040,5040,5040
2016-05-17,4100,4040,4040,4195
2016-05-18,4150,3600,3795,4220
2016-05-19,3835,3660,3835,3945
2016-05-20,3820,3660,3670,3820
2016-05-23,3730,3650,3890,3920
2016-05-24,3820,3685,3720,3870
2016-05-25,3720,3350,3395,3720
2016-05-26,3380,3130,3185,3380
2016-05-27,3220,3170,3180,3330
2016-05-30,3260,3250,3370,3470
2016-05-31,3345,3330,3435,3540
2016-06-01,3390,3300,3320,3435
2016-06-02,3320,3180,3210,3325
2016-06-03,3255,3200,3235,3330
2016-06-06,3140,3065,3200,3215
2016-06-07,3215,3080,3095,3240
2016-06-08,3100,3025,3050,3115
2016-06-09,3045,3035,3115,3245
2016-06-10,3200,3170,3440,3460
2016-06-13,3315,3180,3335,3380
2016-06-14,3340,3050,3065,3405
2016-06-15,3005,2932,2948,3110
2016-06-16,2919,2525,2690,2925
2016-06-17,2739,2391,2481,2798
2016-06-20,2555,2470,2555,2639
2016-06-21,2506,2412,2431,2532
2016-06-22,2391,2311,2345,2410
2016-06-23,2350,2294,2369,2408
2016-06-24,2400,1938,2080,2471
2016-06-27,2150,2028,2079,2180
2016-06-28,2100,1986,2065,2100
2016-06-29,2103,2100,2272,2425
2016-06-30,2364,2128,2184,2393
2016-07-01,2202,2186,2265,2316
2016-07-04,2260,2250,2333,2392
2016-07-05,2352,2251,2280,2359
2016-07-06,2203,2105,2170,2229
2016-07-07,2126,2051,2090,2175
2016-07-08,2040,2003,2066,2100
2016-07-11,2135,2084,2120,2182
2016-07-12,2194,2131,2156,2260
2016-07-13,2189,2176,2263,2399
2016-07-14,2213,2162,2171,2236
2016-07-15,2161,2037,2047,2165
2016-07-19,2015,2001,2009,2138
2016-07-20,2015,1980,2026,2062
2016-07-21,2094,2030,2036,2175
2016-07-22,2016,2007,2042,2066
2016-07-25,2026,1993,1996,2038
2016-07-26,1993,1992,1999,2070
2016-07-27,2012,2000,2034,2069
2016-07-28,2015,2005,2006,2048
2016-07-29,2004,1941,2018,2029
2016-08-01,1993,1993,2050,2095
2016-08-02,2031,2031,2190,2217
2016-08-03,2240,2007,2023,2244
2016-08-04,2050,2002,2007,2140
2016-08-05,2017,2000,2000,2040
2016-08-08,1500,1500,1500,1500
2016-08-09,1130,1100,1100,1169
2016-08-10,1120,1064,1082,1149
2016-08-12,1096,1073,1113,1169
2016-08-15,1096,1050,1063,1109
2016-08-16,1063,1032,1064,1087
2016-08-17,1080,1037,1048,1084
2016-08-18,1045,1011,1025,1050
2016-08-19,1045,1045,1165,1165
2016-08-22,1151,1079,1105,1155
2016-08-23,1088,1052,1064,1098
2016-08-24,1062,1041,1045,1094
2016-08-25,1052,1045,1046,1065
2016-08-26,1048,1021,1045,1063
2016-08-29,1064,1045,1070,1115
2016-08-30,1060,1046,1100,1100
2016-08-31,1120,1066,1077,1129
2016-09-01,1076,1061,1094,1097
2016-09-02,1076,1053,1056,1078
2016-09-05,1081,1067,1095,1117
2016-09-06,1098,1070,1110,1117
2016-09-07,1098,1085,1131,1162
2016-09-08,1130,1105,1115,1159
2016-09-09,1108,1108,1382,1415
2016-09-12,1315,1298,1420,1489
2016-09-13,1420,1296,1316,1445
2016-09-14,1299,1273,1280,1358
2016-09-15,1275,1180,1198,1276
2016-09-16,1198,1158,1203,1210
2016-09-20,1185,1169,1173,1224
2016-09-21,1176,1160,1200,1210
2016-09-23,1184,1180,1199,1208
2016-09-26,1191,1175,1175,1196
2016-09-27,1158,1140,1179,1179
2016-09-28,1170,1163,1183,1193
2016-09-29,1190,1190,1226,1295
2016-09-30,1209,1197,1200,1230
2016-10-03,1242,1200,1223,1264
2016-10-04,1221,1221,1267,1298
2016-10-05,1260,1256,1328,1345
2016-10-06,1350,1282,1311,1370
2016-10-07,1296,1260,1267,1317
2016-10-11,1280,1238,1250,1280
2016-10-12,1220,1218,1226,1250
2016-10-13,1224,1200,1207,1235
2016-10-14,1201,1201,1207,1217
2016-10-17,1207,1170,1184,1213
2016-10-18,1180,1180,1220,1229
2016-10-19,1247,1243,1295,1320
2016-10-20,1310,1281,1298,1339
2016-10-21,1262,1214,1218,1270
2016-10-24,1219,1192,1202,1230
2016-10-25,1206,1186,1188,1210
2016-10-26,1188,1188,1193,1215
2016-10-27,1194,1182,1192,1205
2016-10-28,1191,1189,1209,1213
2016-10-31,1210,1193,1201,1230
2016-11-01,1200,1190,1195,1211
2016-11-02,1194,1130,1148,1195
2016-11-04,1126,1100,1104,1130
2016-11-07,1134,1114,1144,1150
2016-11-08,1136,1106,1119,1140
2016-11-09,1111,1025,1056,1132
2016-11-10,1100,1070,1079,1104
2016-11-11,1083,1065,1093,1127
2016-11-14,1020,1019,1137,1143
2016-11-15,1146,1070,1095,1146
2016-11-16,1089,1089,1091,1133
2016-11-17,1081,1075,1089,1102
2016-11-18,1085,1083,1106,1109
2016-11-21,1113,1113,1132,1173
2016-11-22,1125,1091,1102,1125
2016-11-24,1096,1088,1100,1112
2016-11-25,1105,1105,1138,1193
2016-11-28,1139,1139,1179,1180
2016-11-29,1171,1115,1145,1228
2016-11-30,1145,1145,1178,1189
2016-12-01,1185,1155,1161,1189
2016-12-02,1177,1123,1127,1177
2016-12-05,1113,1075,1093,1120
2016-12-06,1115,1086,1105,1120
2016-12-07,1117,1115,1172,1188
2016-12-08,1170,1136,1155,1188
2016-12-09,1140,1139,1190,1190
2016-12-12,1207,1205,1270,1270
2016-12-13,1251,1212,1241,1275
2016-12-14,1251,1230,1245,1273
2016-12-15,1252,1220,1228,1260
2016-12-16,1215,1201,1210,1228
2016-12-19,1207,1182,1200,1215
2016-12-20,1200,1175,1182,1200
2016-12-21,1170,1152,1155,1178
2016-12-22,1156,1131,1133,1167
2016-12-26,1133,1117,1136,1143
2016-12-27,1136,1119,1136,1175
2016-12-28,1158,1143,1196,1226
2016-12-29,1183,1157,1167,1190
2016-12-30,1170,1170,1240,1245
