Unnamed: 0,始値,終値,高値,安値
2016-02-22,492,480,505,472
2016-02-19,500,479,515,461
2016-02-18,437,510,510,437
2016-02-17,435,430,455,423
2016-02-16,420,446,466,420
2016-02-15,436,454,454,420
2016-02-12,411,388,420,387
2016-02-10,483,449,485,429
2016-02-09,492,475,502,466
2016-02-08,486,518,522,475
2016-02-05,517,504,525,488
2016-02-04,541,517,553,517
2016-02-03,559,541,562,541
2016-02-02,589,576,594,574
2016-02-01,576,595,609,576
2016-01-29,580,573,597,559
2016-01-28,585,584,608,570
2016-01-27,598,585,616,584
2016-01-26,590,573,607,568
2016-01-25,582,597,624,576
2016-01-22,599,601,630,568
2016-01-21,579,548,617,543
2016-01-20,630,571,638,570
2016-01-19,633,660,665,620
2016-01-18,626,647,668,607
2016-01-15,745,674,776,666
2016-01-14,775,746,780,710
2016-01-13,894,816,916,797
2016-01-12,920,853,944,821
2016-01-08,772,897,925,722
2016-01-07,870,802,929,788
2016-01-06,961,919,981,865
2016-01-05,770,861,861,750
2016-01-04,605,711,711,593
