Unnamed: 0,始値,高値,安値,終値
2016-12-30,390,393,387,389
2016-12-29,384,391,381,391
2016-12-28,387,393,386,386
2016-12-27,375,394,375,385
2016-12-26,374,407,371,375
2016-12-22,382,382,375,376
2016-12-21,388,392,381,383
2016-12-20,391,393,382,386
2016-12-19,393,397,387,391
2016-12-16,383,398,380,389
2016-12-15,392,393,378,380
2016-12-14,382,395,380,386
2016-12-13,378,381,377,379
2016-12-12,380,386,377,378
2016-12-09,374,385,373,380
2016-12-08,375,377,371,375
2016-12-07,369,372,368,371
2016-12-06,373,374,369,369
2016-12-05,376,376,371,371
2016-12-02,376,378,370,373
2016-12-01,383,384,373,375
