,始値,安値,終値,高値
2016-01-04,801,775,790,827
2016-01-05,786,778,795,808
2016-01-06,796,760,771,805
2016-01-07,762,755,764,787
2016-01-08,741,724,728,757
2016-01-12,713,649,660,717
2016-01-13,679,666,681,695
2016-01-14,646,592,630,653
2016-01-15,650,606,612,652
2016-01-18,576,572,597,611
2016-01-19,593,592,620,624
2016-01-20,620,567,570,628
2016-01-21,568,566,567,612
2016-01-22,600,582,601,610
2016-01-25,591,585,605,610
2016-01-26,589,586,591,607
2016-01-27,617,611,616,627
2016-01-28,644,637,649,714
2016-01-29,643,601,619,647
2016-02-01,627,624,638,644
2016-02-02,641,628,650,655
2016-02-03,628,605,612,632
2016-02-04,612,591,593,616
2016-02-05,583,539,562,593
2016-02-08,529,525,551,558
2016-02-09,521,490,500,531
2016-02-10,510,460,471,510
2016-02-12,425,412,424,445
2016-02-15,448,431,448,457
2016-02-16,440,437,466,495
2016-02-17,461,461,507,521
2016-02-18,527,503,528,545
2016-02-19,518,505,515,525
2016-02-22,505,505,526,539
2016-02-23,536,506,509,538
2016-02-24,495,488,506,514
2016-02-25,508,499,509,514
2016-02-26,511,476,477,513
2016-02-29,485,474,479,501
2016-03-01,476,471,485,488
2016-03-02,492,477,483,497
2016-03-03,485,485,525,538
2016-03-04,518,513,555,570
2016-03-07,575,558,589,597
2016-03-08,592,544,552,595
2016-03-09,544,536,555,573
2016-03-10,575,561,583,585
2016-03-11,567,564,569,584
2016-03-14,572,569,599,606
2016-03-15,589,588,614,618
2016-03-16,610,601,607,616
2016-03-17,612,568,588,615
2016-03-18,580,571,599,601
2016-03-22,604,601,613,629
2016-03-23,609,583,597,615
2016-03-24,591,577,579,596
2016-03-25,575,558,564,590
2016-03-28,556,550,558,580
2016-03-29,554,554,580,585
2016-03-30,582,556,566,592
2016-03-31,571,568,666,666
2016-04-01,700,653,736,756
2016-04-04,700,681,697,730
2016-04-05,670,597,607,678
2016-04-06,592,586,593,612
2016-04-07,590,571,580,608
2016-04-08,563,561,591,604
2016-04-11,600,585,622,630
2016-04-12,628,604,616,638
2016-04-13,625,619,653,664
2016-04-14,665,642,646,670
2016-04-15,629,625,640,657
2016-04-18,627,601,626,643
2016-04-19,635,622,627,640
2016-04-20,631,611,615,635
2016-04-21,621,616,632,643
2016-04-22,623,618,625,635
2016-04-25,630,621,627,637
2016-04-26,625,580,597,626
2016-04-27,605,581,605,615
2016-04-28,605,568,572,613
2016-05-02,498,472,472,513
2016-05-06,480,457,460,481
2016-05-09,480,469,510,539
2016-05-10,520,498,502,521
2016-05-11,512,508,546,558
2016-05-12,566,536,543,581
2016-05-13,533,510,518,537
2016-05-16,510,507,512,533
2016-05-17,513,513,543,543
2016-05-18,560,513,534,562
2016-05-19,536,535,551,560
2016-05-20,555,554,586,590
2016-05-23,595,582,622,622
2016-05-24,615,601,613,629
2016-05-25,620,607,626,634
2016-05-26,618,587,595,629
2016-05-27,585,581,647,686
2016-05-30,637,630,688,689
2016-05-31,696,687,708,727
2016-06-01,705,681,683,708
2016-06-02,677,676,723,754
2016-06-03,752,745,835,873
2016-06-06,805,786,798,842
2016-06-07,785,707,765,811
2016-06-08,765,730,769,780
2016-06-09,755,747,765,784
2016-06-10,750,741,775,784
2016-06-13,745,705,710,752
2016-06-14,702,622,624,754
2016-06-15,620,617,648,661
2016-06-16,645,588,592,664
2016-06-17,621,587,601,634
2016-06-20,621,612,647,660
2016-06-21,652,640,685,694
2016-06-22,679,635,643,683
2016-06-23,642,619,672,678
2016-06-24,692,572,572,697
2016-06-27,581,581,589,637
2016-06-28,570,553,607,612
2016-06-29,615,604,614,629
2016-06-30,616,597,602,635
2016-07-01,612,603,614,637
2016-07-04,615,602,635,635
2016-07-05,635,621,625,639
2016-07-06,650,632,638,693
2016-07-07,642,617,725,738
2016-07-08,665,611,612,685
2016-07-11,624,592,605,626
2016-07-12,612,610,620,632
2016-07-13,625,590,591,629
2016-07-14,578,561,568,589
2016-07-15,554,535,544,566
2016-07-19,514,480,513,519
2016-07-20,518,504,529,558
2016-07-21,526,524,529,547
2016-07-22,525,495,498,528
2016-07-25,506,494,498,515
2016-07-26,500,477,478,500
2016-07-27,478,475,484,491
2016-07-28,483,447,447,483
2016-07-29,439,422,456,460
2016-08-01,445,436,476,481
2016-08-02,469,469,492,504
2016-08-03,484,476,488,499
2016-08-04,499,493,513,517
2016-08-05,515,501,522,539
2016-08-08,524,496,505,529
2016-08-09,491,487,505,513
2016-08-10,505,505,518,525
2016-08-12,518,516,564,602
2016-08-15,584,541,544,585
2016-08-16,541,532,533,555
2016-08-17,540,508,513,543
2016-08-18,513,493,502,515
2016-08-19,512,509,527,533
2016-08-22,510,492,501,513
2016-08-23,497,495,495,511
2016-08-24,505,496,509,519
2016-08-25,509,501,504,510
2016-08-26,501,491,495,503
2016-08-29,501,497,509,515
2016-08-30,508,503,509,518
2016-08-31,509,503,506,517
2016-09-01,500,490,493,505
2016-09-02,499,486,487,499
2016-09-05,484,481,498,503
2016-09-06,501,497,519,524
2016-09-07,509,500,504,521
2016-09-08,504,500,505,510
2016-09-09,509,504,514,518
2016-09-12,505,497,505,513
2016-09-13,506,500,514,514
2016-09-14,510,486,491,510
2016-09-15,486,486,498,498
2016-09-16,495,487,494,498
2016-09-20,496,480,485,496
2016-09-21,480,473,490,490
2016-09-23,487,485,497,500
2016-09-26,496,484,489,496
2016-09-27,481,478,486,490
2016-09-28,491,491,505,512
2016-09-29,513,496,496,517
2016-09-30,492,490,490,501
2016-10-03,496,481,481,496
2016-10-04,484,481,481,492
2016-10-05,481,481,489,491
2016-10-06,488,482,482,491
2016-10-07,481,477,479,486
2016-10-11,475,468,471,482
2016-10-12,469,453,457,469
2016-10-13,457,450,457,463
2016-10-14,457,451,452,457
2016-10-17,454,447,453,455
2016-10-18,450,449,453,458
2016-10-19,455,455,458,462
2016-10-20,459,459,471,473
2016-10-21,472,459,461,473
2016-10-24,463,450,451,465
2016-10-25,451,449,459,462
2016-10-26,457,456,462,462
2016-10-27,462,455,457,462
2016-10-28,455,455,468,472
2016-10-31,420,420,426,435
2016-11-01,425,421,438,439
2016-11-02,432,427,428,438
2016-11-04,424,416,421,427
2016-11-07,420,419,430,432
2016-11-08,427,427,428,435
2016-11-09,428,390,404,431
2016-11-10,418,402,405,420
2016-11-11,405,388,390,410
2016-11-14,390,388,400,407
2016-11-15,401,392,408,408
2016-11-16,410,404,409,419
2016-11-17,410,401,407,411
2016-11-18,410,407,413,418
2016-11-21,413,410,410,415
2016-11-22,407,397,405,411
2016-11-24,406,406,416,422
2016-11-25,413,411,412,424
2016-11-28,413,413,431,445
2016-11-29,423,417,421,430
2016-11-30,420,409,413,424
2016-12-01,411,408,408,415
2016-12-02,407,400,401,409
2016-12-05,399,397,406,410
2016-12-06,406,400,401,409
2016-12-07,409,408,411,429
2016-12-08,417,404,406,417
2016-12-09,403,403,407,417
2016-12-12,410,410,415,421
2016-12-13,411,411,414,420
2016-12-14,419,417,420,427
2016-12-15,420,415,422,426
2016-12-16,423,415,417,423
