,始値,安値,終値,高値
2017-03-24,234,226,272,279
2017-03-27,280,234,238,285
2017-03-28,246,222,228,257
2017-03-29,228,219,237,238
2017-03-30,235,231,253,255
2017-03-31,255,246,249,261
2017-04-03,256,249,329,329
2017-04-04,337,317,352,395
2017-04-05,345,334,341,370
2017-04-06,338,307,310,347
2017-04-07,317,292,323,343
2017-04-10,338,334,367,375
2017-04-11,364,359,401,407
2017-04-12,393,380,384,416
2017-04-13,375,372,391,399
2017-04-14,415,389,397,428
2017-04-17,417,406,444,446
2017-04-18,439,413,459,468
2017-04-19,470,461,539,539
2017-04-20,556,543,606,639
2017-04-21,600,546,594,645
2017-04-24,616,512,558,617
2017-04-25,555,460,470,556
2017-04-26,485,466,540,548
2017-04-27,533,525,549,588
2017-04-28,520,511,530,565
2017-05-01,537,498,500,546
2017-05-02,492,470,524,537
2017-05-08,554,550,600,605
2017-05-09,609,558,560,648
2017-05-10,580,562,594,598
2017-05-11,604,576,598,608
2017-05-12,600,570,576,606
2017-05-15,546,540,548,568
2017-05-16,568,563,625,629
2017-05-17,639,593,615,652
2017-05-18,605,598,623,630
2017-05-19,640,614,627,643
2017-05-22,627,605,607,631
2017-05-23,597,578,620,622
2017-05-24,622,613,618,637
2017-05-25,612,592,595,617
2017-05-26,594,570,570,610
2017-05-29,552,500,509,564
2017-05-30,503,503,524,530
2017-05-31,517,482,482,523
2017-06-01,503,478,486,504
2017-06-02,491,475,562,566
2017-06-05,532,521,532,564
2017-06-06,527,501,506,532
2017-06-07,502,492,514,528
2017-06-08,512,497,498,515
2017-06-09,502,491,505,530
2017-06-12,522,521,573,598
2017-06-13,570,538,545,604
2017-06-14,544,522,540,564
2017-06-15,540,511,520,541
2017-06-16,518,513,524,543
2017-06-19,519,501,539,556
2017-06-20,535,521,521,549
2017-06-21,515,498,503,518
2017-06-22,506,496,498,507
2017-06-23,498,476,483,501
2017-06-26,478,475,480,492
2017-06-27,482,479,498,510
2017-06-28,485,482,483,494
2017-06-29,446,411,411,450
2017-06-30,403,371,379,428
2017-07-03,395,383,387,407
2017-07-04,398,379,394,405
2017-07-05,391,381,382,392
2017-07-06,381,342,343,382
2017-07-07,340,332,423,423
2017-07-10,439,398,401,469
2017-07-11,399,385,398,416
2017-07-12,399,395,423,430
2017-07-13,417,415,421,439
2017-07-14,419,405,409,428
2017-07-18,410,398,401,413
2017-07-19,394,388,399,399
2017-07-20,398,393,402,410
2017-07-21,400,398,402,404
2017-07-24,400,394,395,400
2017-07-25,394,386,389,397
2017-07-26,388,386,397,403
2017-07-27,395,386,387,396
2017-07-28,386,367,367,388
2017-07-31,366,349,351,366
2017-08-01,353,332,332,361
2017-08-02,332,321,334,338
2017-08-03,335,329,333,348
2017-08-04,328,326,328,336
2017-08-07,322,307,308,327
2017-08-08,309,307,309,316
2017-08-09,307,303,352,366
2017-08-10,338,326,330,360
2017-08-14,314,307,314,324
2017-08-15,321,316,318,328
2017-08-16,321,319,344,356
2017-08-17,344,338,360,361
2017-08-18,353,343,356,365
2017-08-21,359,355,381,398
2017-08-22,388,384,395,408
